stock,sector,sub_sector,earnings_date,is_large_reaction,is_extreme_reaction,hist_extreme_prob,global_hist_prob,current_lift_vs_baseline,current_lift_vs_same_bucket_global,extreme_count,risk_level,risk_score,base_extreme_prob
DELL,Information Technology,"Technology Hardware, Storage & Peripherals",2025-11-25,0,0,0.251,0.251,2.163,1.0,2036.0,Extreme,98.0,0.116
DG,Consumer Staples,Consumer Staples Merchandise Retail,2025-03-13,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,45.0,0.116
DG,Consumer Staples,Consumer Staples Merchandise Retail,2025-06-03,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,50.0,0.116
DG,Consumer Staples,Consumer Staples Merchandise Retail,2025-08-28,0,0,0.052,0.052,0.449,1.0,423.0,Low,62.0,0.116
DG,Consumer Staples,Consumer Staples Merchandise Retail,2025-12-04,0,0,0.052,0.052,0.449,1.0,423.0,Low,54.0,0.116
DGX,Health Care,Health Care Services,2025-01-30,0,0,0.052,0.052,0.449,1.0,423.0,Low,62.0,0.116
DGX,Health Care,Health Care Services,2025-04-22,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,53.0,0.116
DGX,Health Care,Health Care Services,2025-07-22,1,0,0.049,0.049,0.42,1.0,395.0,Moderate,73.0,0.116
DGX,Health Care,Health Care Services,2025-10-21,0,0,0.052,0.052,0.449,1.0,423.0,Low,61.0,0.116
DHI,Consumer Discretionary,Homebuilding,2025-01-21,0,0,0.049,0.049,0.42,1.0,395.0,Moderate,68.0,0.116
DHI,Consumer Discretionary,Homebuilding,2025-04-17,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,53.0,0.116
DHI,Consumer Discretionary,Homebuilding,2025-07-22,1,0,0.052,0.052,0.449,1.0,423.0,Low,57.0,0.116
DHI,Consumer Discretionary,Homebuilding,2025-10-28,0,0,0.052,0.052,0.449,1.0,423.0,Low,64.0,0.116
DHR,Health Care,Life Sciences Tools & Services,2025-01-29,0,0,0.052,0.052,0.449,1.0,423.0,Low,56.0,0.116
DHR,Health Care,Life Sciences Tools & Services,2025-04-22,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,30.0,0.116
DHR,Health Care,Life Sciences Tools & Services,2025-07-22,1,1,0.105,0.105,0.907,1.0,854.0,Very Low,46.0,0.116
DHR,Health Care,Life Sciences Tools & Services,2025-10-21,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,36.0,0.116
